IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.												
To be completed by wet lab team member												Experiment Index (DO NOT CHANGE)
Sample Index (from MSTS)	sample ID (from MSTS)	Team member intials	Date experiment started	Date experiment completed	Experiment type	Protocol used	Reference to notebook and page number	Passed pre-sequencing QC? (see SOP; if not, please explain in notes)	Sequencing library generated? (enter in mSeqTS)	Library ID (if library generated)	Notes	
SAMP-1	Caov3-E5	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-21	Parental Clone	EXP-1
SAMP-2	Caov3-E5_#1	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-22	Sensitive Clone S01 (22 doublings)	EXP-2
SAMP-3	Caov3-E5_#2	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-23	Sensitive Clone S02 (26 doublings)	EXP-3
SAMP-4	Caov3-E5_#3	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-24	Sensitive Clone S03 (28 doublings)	EXP-4
SAMP-5	Caov3-E5_#4	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-25	Sensitive Clone S04 (30 doublings)	EXP-5
SAMP-6	Caov3-E5_#6	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-26	Resistant Clone R06 (5uM-22 doublings)	EXP-6
SAMP-7	Caov3-E5_#14	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-27	Resistant Clone R14 (5uM-22 doublings)	EXP-7
SAMP-8	Caov3-E5_#16	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-28	Resistant Clone R16 (5uM-24 doublings)	EXP-8
SAMP-9	Caov3-E5_#18	JYH	06/16/2017	6/16/2017	ATAC-seq	ATAC-seq for cells	nb1_p36	Yes	Yes	JYH-29	Resistant Clone R18 (5uM-22 doublings)	EXP-9
SAMP-10	H7-SNAP-1	JYH	7/19/2017	7/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p67	Yes	Yes	JYH_42	Huh7 parental	EXP-10
SAMP-11	H7-SNAP-2	JYH	7/19/2017	7/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p67	Yes	Yes	JYH_43	Huh7 parental	EXP-11
SAMP-12	H7-SNAPDMSO-1	JYH	7/19/2017	7/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p67	Yes	Yes	JYH_44	Huh7 parental	EXP-12
SAMP-13	H7-SNAPDMSO-2	JYH	7/19/2017	7/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p67	Yes	Yes	JYH_45	Huh7 parental	EXP-13
SAMP-14	H7-SLOWDMSO-1	JYH	7/19/2017	7/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p67	Yes	Yes	JYH_46	Huh7 parental	EXP-14
SAMP-15	H7-SLOWDMSO-2	JYH	7/19/2017	7/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p67	Yes	Yes	JYH_47	Huh7 parental	EXP-15
SAMP-21	2051 3-2 No KCl	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_58	ctrl neurons- no tx	EXP-16
SAMP-22	2051 3-2 1hr	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_59	ctrl neurons- 1hr tx	EXP-17
SAMP-23	2051 3-2 6 hr	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_60	ctrl neurons 6hr tx	EXP-18
SAMP-24	2703 2-1 No KCl	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_61	unaffected neurons -no tx	EXP-19
SAMP-25	2703 2-1 1 hr	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_62	unaffected neurons- 1hr tx	EXP-20
SAMP-26	2703 2-1 6 hr	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_63	unaffected neurons- 6hr tx	EXP-21
SAMP-27	2703 3-3 No KCl	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_64	affected 1 neurons-no tx	EXP-22
SAMP-28	2703 3-3 1 hr	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_65	affected 1 neurons -1 hr tx	EXP-23
SAMP-29	2703 3-3 6 hr	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_66	affected 1 neurons- 6hr tx	EXP-24
SAMP-30	2703 3-4 No KCl	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_67	affected 2 neurons -no tx	EXP-25
SAMP-31	2703 3-4 1 hr	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_68	affected 2 neurons- 1 hr tx	EXP-26
SAMP-32	2703 3-4 6 hr	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_69	affected 2 neurons -6hr tx	EXP-27
other	HG00514_2_TB_gly	JYH	7/26/17	7/27/17	ATAC-seq	ATAC-seq for cells	nb1_p75	Yes	Yes	JYH_70	Flash freeze nuclei of control cell line with TB and 25%glycerol	EXP-28
other	HG00514_1_noDMF_gly	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_48	Flash freeze nuclei of control cell line with no DMF and 25%glycerol	EXP-29
other	HG00514_2_TB_gly	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_49	Flash freeze nuclei of control cell line with TB and 25%glycerol	EXP-30
SAMP-10	H7-SNAP-1	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_50	Flash freeze nuclei of control cell line with no DMF and 25%glycerol	EXP-31
SAMP-11	H7-SNAP-2	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_51	Flash freeze nuclei of control cell line with no DMF and 25%glycerol	EXP-32
SAMP-12	H7-SNAPDMSO-1	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_52	Flash freeze nuclei of control cell line with no DMF and 25%glycerol	EXP-33
SAMP-13	H7-SNAPDMSO-2	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_53	Flash freeze nuclei of control cell line with no DMF and 25%glycerol	EXP-34
SAMP-14	H7-SLOWDMSO-1	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_54	Flash freeze nuclei of control cell line with no DMF and 25%glycerol	EXP-35
