IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.																													
To be completed by wet lab team member																		Sequncing file index (DO NOT CHANGE)	To be completed by bioinformatics team member										
Sample Index (from MSTS)	sample ID (from MSTS)	Label (for QC report)	species 	Experiment Index (from METS)	Team member intials	Date submitted for sequencing	Library ID	Sequencing ID	Experiment type	Sequening core	Machine	Sequening length	Read type	Portion of lane	i7 index (if applicable)	i5 Index (or single index)	Notes		Date sequencing completed	Team member intitials	Genome	Total_reads	Final_reads	Final_yield	Mito_frac	TSS_enrichment	FRoP	Link for sharing files	Notes
N/A	NA	EC1	mouse	N/A	DUG	N/A	EC1	EC1	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC1.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-279			mm10	34,028,898	6,532,710	0.192	0.000396	1.896	0.0795		
N/A	NA	EC2	mouse	N/A	DUG	N/A	EC2	EC2	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC2.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-280			mm10	33,820,798	9,311,818	0.275	0.000283	7.965	0.367		
N/A	NA	EC3	mouse	N/A	DUG	N/A	EC3	EC3	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC3.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-281			mm10	19,909,992	4,155,569	0.209	0.000389	26.43	0.501		
N/A	NA	EC4	mouse	N/A	DUG	N/A	EC4	EC4	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC4.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-282			mm10	14,923,519	1,534,092	0.103	0.00103	9.517	0.178		
N/A	NA	EC5	mouse	N/A	DUG	N/A	EC5	EC5	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC5.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-283			mm10	57,483,435	6,651,237	0.116	0.000669	1.872	0.0302		
N/A	NA	EC6	mouse	N/A	DUG	N/A	EC6	EC6	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC6.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-284			mm10	64,201,584	14,268,843	0.222	0.00117	7.075	0.133		
N/A	NA	EC7	mouse	N/A	DUG	N/A	EC7	EC7	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC7.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-285			mm10	34,114,611	1,601,422	0.0469	0.000381	1.945	0.018		
N/A	NA	EC8	mouse	N/A	DUG	N/A	EC8	EC8	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC8.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-286			mm10	141,924	6,177	0.0435	0.000545	6.921	0.0635		
N/A	NA	EC9	mouse	N/A	DUG	N/A	EC9	EC9	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC9.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-287			mm10	27,798,856	1,178,202	0.0424	0.000559	1.986	0.0703		
N/A	NA	D0_B1_T1_SP245	human	N/A	DUG	N/A	SP245	SP245	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D0_1_SP245_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D0_1_SP245_R2.fastq.bz2	SEQ-288			hg38	100,707,560	33,572,382	0.333	0.368	30.84	0.333		
