												
To be completed by wet lab team member												Experiment Index (DO NOT CHANGE)
Sample Index (from MSTS)	sample ID (from MSTS)	Team member intials	Date experiment started	Date experiment completed	Experiment type	Protocol used	Reference to notebook and page number	Passed pre-sequencing QC? (see SOP; if not, please explain in notes)	Sequencing library generated? (enter in mSeqTS)	Library ID (if library generated)	Notes	
SAMP-421	1034005CA0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_210	Liver	EXP-322
SAMP-423	1034005NR0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_211	Liver	EXP-323
SAMP-424	1036205CA0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_212	Liver	EXP-324
SAMP-426	1036205NR0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_213	Liver	EXP-325
SAMP-427	1035805CA0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_214	Liver	EXP-326
SAMP-429	1035805NR0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_215	Liver	EXP-327
SAMP-430	1036305CA0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_216	Liver	EXP-328
SAMP-432	1036305NR0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_217	Liver	EXP-329
SAMP-433	1033605CA0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_218	Liver	EXP-330
SAMP-435	1033605NR0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_219	Liver	EXP-331
SAMP-436	1033705CA0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_220	Liver	EXP-332
SAMP-437	1033705NR0503	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues	nb1_p144	Yes	Yes	JYH_221	Liver	EXP-333
SAMP-126	GM_SNAP10	JYH	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_cells	nb1_p144	Yes	Yes	JYH_222	Liver	EXP-334
SAMP-68	GBM3	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_223	GBM	EXP-335
SAMP-71	GBM4.3	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_224	GBM	EXP-336
SAMP-77	GBM5.4	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_225	GBM	EXP-337
SAMP-79	GBM6.2	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_226	GBM	EXP-338
SAMP-80	GBM7	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_227	GBM	EXP-339
SAMP-81	GBM8.1	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_228	GBM	EXP-340
SAMP-86	GBM9.2	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_229	GBM	EXP-341
SAMP-91	GBM10.3	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_230	GBM	EXP-342
SAMP-113	GBM11	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_231	GBM	EXP-343
SAMP-115	GBM12.2	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_tissues	nb1_p146	Yes	Yes	JYH_232	GBM	EXP-344
SAMP-126	GM_SNAP10	JYH	01/05/2018	01/08/2018	ATAC-seq	ATAC-seq_cells	nb1_p146	Yes	Yes	JYH_233	GBM	EXP-345
SAMP-58	Mnx1Cre-GFP(-)	AVD	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues		Yes	Yes	AVD_86	standard ATAC-seq rep1	EXP-346
SAMP-58	Mnx1Cre-GFP(-)	AVD	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues		Yes	Yes	JYH_269	standard ATAC-seq rep2	EXP-347
