IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.																													
To be completed by wet lab team member																		Sequncing file index (DO NOT CHANGE)	To be completed by bioinformatics team member										
Sample Index (from MSTS)	sample ID (from MSTS)	Label (for QC report)	species 	Experiment Index (from METS)	Team member intials	Date submitted for sequencing	Library ID	Sequencing ID	Experiment type	Sequening core	Machine	Sequening length	Read type	Portion of lane	i5 Index (or single index)	i7 index (if applicable)	Notes		Date sequencing completed	Team member intitials	Genome	Total_reads	Final_reads	Final_yield	Mito_frac	TSS_enrichment	FRoP	Link for sharing files	Notes
SAMP-1	Caov3-E5	Caov3-E5	human	EXP-1	JYH	07/05/2017	JYH_21	JYH_21	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N701	Parental Clone	SEQ-1		ZC	hg38	116,144,378	40,456,888	0.348	0.452	31.24	0.461		
SAMP-2	Caov3-E5_#1	Caov3-E5_#1	human	EXP-2	JYH	07/05/2017	JYH_22	JYH_22	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N702	Sensitive Clone S01 (22 doublings)	SEQ-2		ZC	hg38	97,445,126	40,131,874	0.412	0.42	29.53	0.44		
SAMP-3	Caov3-E5_#2	Caov3-E5_#2	human	EXP-3	JYH	07/05/2017	JYH_23	JYH_23	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N703	Sensitive Clone S02 (26 doublings)	SEQ-3		ZC	hg38	128,650,360	63,752,726	0.496	0.295	32.47	0.492		
SAMP-4	Caov3-E5_#3	Caov3-E5_#3	human	EXP-4	JYH	07/05/2017	JYH_24	JYH_24	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N704	Sensitive Clone S03 (28 doublings)	SEQ-4		ZC	hg38	115,094,838	51,479,750	0.447	0.367	32.33	0.527		
SAMP-5	Caov3-E5_#4	Caov3-E5_#4	human	EXP-5	JYH	07/05/2017	JYH_25	JYH_25	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N705	Sensitive Clone S04 (30 doublings)	SEQ-5		ZC	hg38	125,335,632	53,733,638	0.429	0.384	35.05	0.556		
SAMP-6	Caov3-E5_#6	Caov3-E5_#6	human	EXP-6	JYH	07/05/2017	JYH_26	JYH_26	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N706	Resistant Clone R06 (5uM-22 doublings)	SEQ-6		ZC	hg38	114,322,322	38,836,312	0.34	0.512	33.01	0.487		
SAMP-7	Caov3-E5_#14	Caov3-E5_#14	human	EXP-7	JYH	07/05/2017	JYH_27	JYH_27	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N707	Resistant Clone R14 (5uM-22 doublings)	SEQ-7		ZC	hg38	120,753,648	58,700,894	0.486	0.31	33.4	0.502		
SAMP-8	Caov3-E5_#16	Caov3-E5_#16	human	EXP-8	JYH	07/05/2017	JYH_28	JYH_28	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N710	Resistant Clone R16 (5uM-24 doublings)	SEQ-8		ZC	hg38	105,377,180	43,976,240	0.417	0.436	35.01	0.522		
SAMP-9	Caov3-E5_#18	Caov3-E5_#18	human	EXP-9	JYH	07/05/2017	JYH_29	JYH_29	ATAC-seq	LICR	HiSeq4000	50	PE	0.11	S506	N711	Resistant Clone R18 (5uM-22 doublings)	SEQ-9		ZC	hg38	143,158,456	72,384,018	0.506	0.276	34.24	0.501		
SAMP-10	H7-SNAP-1	H7-SNAP-1	human	EXP-10	JYH	08/15/2017	JYH_42	JYH_42	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N701	Huh7 parental	SEQ-10		ZC	hg38	32,350,644	13,513,654	0.418	0.323	2.412	0.0228		
SAMP-11	H7-SNAP-2	H7-SNAP-2	human	EXP-11	JYH	08/15/2017	JYH_43	JYH_43	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N702	Huh7 parental	SEQ-11		ZC	hg38	25,477,330	10,780,406	0.423	0.308	2.349	0.0233		
SAMP-12	H7-SNAPDMSO-1	H7-SNAPDMSO-1	human	EXP-12	JYH	08/15/2017	JYH_44	JYH_44	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N703	Huh7 parental	SEQ-12		ZC	hg38	16,026,888	4,315,292	0.269	0.488	28.27	0.337		
SAMP-13	H7-SNAPDMSO-2	H7-SNAPDMSO-2	human	EXP-13	JYH	08/15/2017	JYH_45	JYH_45	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N704	Huh7 parental	SEQ-13		ZC	hg38	30,396,198	6,879,576	0.226	0.526	30.63	0.367		
SAMP-14	H7-SLOWDMSO-1	H7-SLOWDMSO-1	human	EXP-14	JYH	08/15/2017	JYH_46	JYH_46	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N705	Huh7 parental	SEQ-14		ZC	hg38	28,891,622	4,618,224	0.16	0.527	34.02	0.376		
SAMP-15	H7-SLOWDMSO-2	H7-SLOWDMSO-2	human	EXP-15	JYH	08/15/2017	JYH_47	JYH_47	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N706	Huh7 parental	SEQ-15		ZC	hg38	28,435,952	3,411,402	0.12	0.545	35.24	0.395		
SAMP-21	2051 3-2 No KCl	2051 3-2 No KCl	human	EXP-16	JYH	08/15/2017	JYH_58	JYH_58	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N701	ctrl neurons- no tx	SEQ-16		ZC	hg38	52,124,734	28,588,802	0.548	0.21	43.98	0.355		
SAMP-22	2051 3-2 1hr	2051 3-2 1hr	human	EXP-17	JYH	08/15/2017	JYH_59	JYH_59	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N702	ctrl neurons- 1hr tx	SEQ-17		ZC	hg38	42,367,240	23,669,452	0.559	0.21	47.3	0.392		
SAMP-23	2051 3-2 6 hr	2051 3-2 6 hr	human	EXP-18	JYH	08/15/2017	JYH_60	JYH_60	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N703	ctrl neurons 6hr tx	SEQ-18		ZC	hg38	48,104,560	25,366,390	0.527	0.243	44.83	0.347		
SAMP-24	2703 2-1 No KCl	2703 2-1 No KCl	human	EXP-19	JYH	08/15/2017	JYH_61	JYH_61	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N704	unaffected neurons -no tx	SEQ-19		ZC	hg38	31,465,246	16,323,410	0.519	0.244	22.86	0.187		
SAMP-25	2703 2-1 1 hr	2703 2-1 1 hr	human	EXP-20	JYH	08/15/2017	JYH_62	JYH_62	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N705	unaffected neurons- 1hr tx	SEQ-20		ZC	hg38	25,452,198	12,343,590	0.485	0.281	22.85	0.183		
SAMP-26	2703 2-1 6 hr	2703 2-1 6 hr	human	EXP-21	JYH	08/15/2017	JYH_63	JYH_63	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N706	unaffected neurons- 6hr tx	SEQ-21		ZC	hg38	26,587,754	13,479,038	0.507	0.261	22.93	0.184		
SAMP-27	2703 3-3 No KCl	2703 3-3 No KCl	human	EXP-22	JYH	08/15/2017	JYH_64	JYH_64	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N707	affected 1 neurons-no tx	SEQ-22		ZC	hg38	35,333,654	17,356,010	0.491	0.27	31.62	0.246		
SAMP-28	2703 3-3 1 hr	2703 3-3 1 hr	human	EXP-23	JYH	08/15/2017	JYH_65	JYH_65	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N710	affected 1 neurons -1 hr tx	SEQ-23		ZC	hg38	28,498,630	14,344,428	0.503	0.274	31.68	0.241		
SAMP-29	2703 3-3 6 hr	2703 3-3 6 hr	human	EXP-24	JYH	08/15/2017	JYH_66	JYH_66	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N711	affected 1 neurons- 6hr tx	SEQ-24		ZC	hg38	30,395,730	15,506,376	0.51	0.245	28.91	0.227		
